area,countryCodes,bbox,openaddressesFiles
Aachen,DE,5.88 50.60 6.58 50.99,
Aarhus,DK,9.816 55.993 10.373 56.287,
Adelaide,AU,138.458 -35.033 138.74 -34.753,
Albuquerque,US,-106.7967 34.9993 -106.4726 35.2173,
Alexandria,EG,29.7 31.02 30.21 31.34,
Amsterdam,NL,4.535 52.205 5.211 52.525,
Antwerpen,BE,4.171 51.00 4.668 51.388,
Arnhem,NL,5.58 51.789 6.152 52.067,
Auckland,AU,174.45 -37.15 175.05 -36.66,
Augsburg,DE,10.62 48.12 11.16 48.60,
Austin,US,-97.99 30.10 -97.54 30.71,
Baghdad,IQ,44.2231 33.2043 44.5259 33.4238,
Baku,AZ,49.471 40.185 50.396 40.684,
Balaton,HU,17.081 46.588 18.32 47.207,
Bamberg,DE,10.53 49.745 11.20 50.19,
Bangkok,TH,100.35 13.48 100.80 14.05,
Barcelona,ES,1.802 41.23 2.479 41.618,
Basel,CH,7.25 47.24 8.09 47.83,
Beijing,CN,116.08 39.68 116.77 40.18,
Beirut,LB,35.4354 33.7935 35.6187 33.9238,
Berkeley,US,-122.395 37.698 -121.999 38.063,
Berlin,DE,12.76 52.23 13.98 52.82,
Bern,CH,7.172 46.729 7.768 47.169,
Bielefeld,DE,8.31 51.867 8.99 52.33,
Birmingham,UK,-2.2 52.376 -1.696 52.63,
Bochum,DE,7.00 51.34 7.41 51.67,
Bogota,CO,-74.2155 4.5199 -74.0078 4.7711,
Bombay,IN,72.746 18.837 73.155 19.355,
Bonn,DE,6.80 50.47 7.36 50.90,
Bordeaux,FR,-0.834 44.679 -0.315 45.012,
Boulder,US,-105.383 39.89 -105.04 40.145,
BrandenburgHavel,DE,11.70 52.26 12.785 53.10,
Braunschweig,DE,10.07 51.75 11.20 52.69,
Bremen,DE,8.43 52.88 9.29 53.35,
Bremerhaven,DE,9.38 53.25 7.97 53.90,
Brisbane,AU,152.72 -27.73 153.33 -27.17,
Bristol,UK,-2.926 51.336 -2.269 51.592,
Brno,CZ,16.358 49.06 16.837 49.363,
Bruegge,BE,3.029 51.102 3.434 51.368,
Bruessel,BE,4.15 50.65 4.62 51.00,
Budapest,HU,18.757 47.325 19.414 47.655,
BuenosAires,AR,-58.85 -34.85 -58.12 -34.40,
Cairo,EG,31.1298 29.9285 31.4141 30.1479,
Calgary,US,-114.314 50.857 -113.764 51.217,
Cambridge,UK,-0.036 52.119 0.324 52.284,
CambridgeMa,US,-71.30 42.180 -70.82 42.59,
Canberra,AU,148.977 -35.419 149.27 -35.156,
CapeTown,ZA,18.278 -34.116 18.754 -33.785,
Chemnitz,DE,12.56 50.36 13.43 51.07,
Chicago,US,-88.006 41.643 -87.398 42.093,
ClermontFerrand,FR,2.879 45.64 3.36 45.923,
Colmar,FR,7.2362 47.9964 7.54 48.1579,
Copenhagen,DK,12.25 55.55 12.70 55.85,
Cork,UK,-8.67 51.672 -8.123 51.984,
Corsica,FR,8.474 41.166 9.592 43.032,
Corvallis,US,-123.412 44.475 -123.033 44.676,
Cottbus,DE,13.65 51.35 15.10 52.00,
Cracow,PL,19.756 49.963 20.156 50.136,
CraterLake,US,-123.05 42.04 -121.55 43.38,
Curitiba,BR,-49.3549 -25.5195 -49.1647 -25.381,
Cusco,BO,-72.33 -13.712 -71.532 -13.217,
Dallas,US,-97.046 32.626 -96.525 32.944,
Darmstadt,DE,8.44 49.72 8.842 50.00,
Davis,US,-121.8085 38.5045 -121.6698 38.5942,
DenHaag,NL,4.08 51.963 4.568 52.209,
Denver,US,-105.195 39.6 -104.765 39.89,
Dessau,DE,11.86 51.55 12.85 51.99,
Dortmund,DE,7.35 51.39 7.65 51.63,
Dresden,DE,13.43 50.878 14.182 51.23,
Dublin,IE,-6.549 53.147 -6.032 53.51,
Duesseldorf,DE,6.51 51.06 7.11 51.39,
Duisburg,DE,6.51 51.361 7.11 51.63,
Edinburgh,UK,-3.58 55.70 -2.77 56.10,
Eindhoven,NL,5.258 51.329 5.75 51.584,
Emden,DE,7.97 53.05 6.90 53.80,
Erfurt,DE,10.85 50.76 11.27 51.19,
Erlangen,DE,10.76 49.49 11.27 49.79,
Eugene,US,-123.2152 43.987 -122.8694 44.1476,
Flensburg,DE,9.131 54.621 10.089 54.958,
FortCollins,US,-105.196 40.463 -104.933 40.621,
Frankfurt,DE,8.44 49.93 9.086 50.35,
FrankfurtOder,DE,13.49 52.00 14.76 52.71,
Freiburg,DE,7.50 47.78 8.24 48.31,
Gdansk,PL,18.34 54.23 18.87 54.62,
Genf,CH,5.92 46.02 6.52 46.48,
Gent,BE,3.504 50.938 3.903 51.208,
Gera,DE,11.78 50.38 12.56 51.12,
Glasgow,UK,-4.53 55.745 -3.857 55.957,
Gliwice,PL,18.55 50.17 18.8829 50.41,
Goerlitz,DE,14.10 50.70 15.19 51.35,
Goeteborg,SE,11.70 57.55 12.22 57.82,
Goettingen,DE,9.63 51.30 10.36 51.85,
Graz,AT,14.809 46.599 16.166 47.447,
Groningen,NL,6.317 53.069 6.903 53.345,
Halifax,CA,-63.716 44.609 -63.458 44.754,
Halle,DE,11.42 51.07 12.35 51.71,
Hamburg,DE,9.37 53.32 10.57 53.85,
Hamm,DE,7.60 51.46 8.15 51.83,
Hannover,DE,9.18 52.07 10.15 52.67,
Heilbronn,DE,8.79 48.93 9.60 49.42,
