shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
10002005,205172,47.612137,-122.281769,0.0
10002005,205173,47.612144,-122.281784,5.8
10002005,205174,47.612148,-122.281830,13.5
10002005,205175,47.612141,-122.281853,22.0
10002005,205176,47.612102,-122.281921,45.0
10002005,205177,47.612129,-122.281990,64.2
10002005,205178,47.612160,-122.282021,75.4
10002005,205179,47.612202,-122.282043,92.2
10002005,205180,47.613022,-122.282387,403.6
10002005,205181,47.613228,-122.282471,482.0
10002005,205182,47.613270,-122.282494,498.6
10002005,205183,47.613304,-122.282509,513.1
10002005,205184,47.613346,-122.282539,528.8
10002005,205185,47.613384,-122.282547,544.5
10002005,205186,47.613422,-122.282578,560.2
10002005,205187,47.613541,-122.282661,607.1
10002005,205188,47.613621,-122.282715,636.8
10002005,205189,47.613766,-122.282837,698.4
10002005,205190,47.614182,-122.283134,866.1
10002005,205191,47.614368,-122.283287,945.8
10002005,205192,47.614658,-122.283493,1063.2
10002005,205193,47.614983,-122.283737,1195.8
10002005,205194,47.615185,-122.283890,1276.3
10002005,205195,47.615246,-122.283943,1303.0
10002005,205196,47.615490,-122.284119,1403.2
10002005,205197,47.615673,-122.284256,1478.0
10002005,205198,47.615952,-122.284462,1589.7
10002005,205199,47.615994,-122.284492,1608.9
10002005,205200,47.616058,-122.284546,1634.2
10002005,205201,47.616089,-122.284561,1645.9
10002005,205202,47.616116,-122.284569,1656.0
10002005,205203,47.616150,-122.284584,1668.1
10002005,205204,47.616173,-122.284584,1678.6
10002005,205205,47.616200,-122.284584,1688.2
10002005,205206,47.616230,-122.284584,1699.0
10002005,205207,47.616467,-122.284584,1784.3
10002005,205208,47.616692,-122.284584,1865.9
10002005,205209,47.617069,-122.284584,2004.4
10002005,205210,47.617550,-122.284584,2179.6
10002005,205211,47.617588,-122.284584,2193.5
10002005,205212,47.617622,-122.284584,2206.1
10002005,205213,47.617672,-122.284584,2225.1
10002005,205214,47.617722,-122.284599,2242.8
10002005,205215,47.617764,-122.284615,2258.6
10002005,205216,47.617802,-122.284637,2272.7
10002005,205217,47.617844,-122.284653,2288.8
10002005,205218,47.617886,-122.284683,2307.0
10002005,205219,47.617928,-122.284706,2324.4
10002005,205220,47.617973,-122.284752,2342.1
10002005,205221,47.618012,-122.284790,2358.3
10002005,205222,47.618046,-122.284821,2374.4
10002005,205223,47.618088,-122.284874,2394.7
10002005,205224,47.618122,-122.284927,2411.2
10002005,205225,47.618156,-122.284981,2430.6
10002005,205226,47.618191,-122.285034,2450.2
10002005,205227,47.618221,-122.285103,2468.1
10002005,205228,47.618244,-122.285156,2486.5
10002005,205229,47.618275,-122.285240,2507.9
10002005,205230,47.618286,-122.285294,2521.5
10002005,205231,47.618301,-122.285324,2530.5
10002005,205232,47.618313,-122.285408,2551.8
10002005,205233,47.618339,-122.285568,2591.2
10002005,205234,47.618359,-122.285706,2628.1
10002005,205235,47.618359,-122.286469,2815.5
10002005,205236,47.618359,-122.287575,3087.0
10002005,205237,47.618366,-122.288055,3207.4
10002005,205238,47.618366,-122.288177,3237.8
10002005,205239,47.618355,-122.288277,3259.5
10002005,205240,47.618347,-122.288345,3275.8
10002005,205241,47.618339,-122.288414,3294.0
10002005,205242,47.618328,-122.288475,3311.6
10002005,205243,47.618309,-122.288544,3329.9
10002005,205244,47.618294,-122.288589,3343.0
10002005,205245,47.618282,-122.288612,3349.2
10002005,205246,47.618267,-122.288673,3364.3
10002005,205247,47.618244,-122.288727,3379.9
10002005,205248,47.618214,-122.288780,3396.2
10002005,205249,47.618183,-122.288834,3415.8
10002005,205250,47.618149,-122.288887,3434.5
10002005,205251,47.618111,-122.288940,3452.0
10002005,205252,47.618080,-122.288986,3467.1
10002005,205253,47.618042,-122.289009,3483.8
10002005,205254,47.618000,-122.289055,3500.6
10002005,205255,47.617966,-122.289078,3515.2
10002005,205256,47.617916,-122.289108,3532.7
10002005,205257,47.617878,-122.289131,3550.9
10002005,205258,47.617832,-122.289146,3567.5
10002005,205259,47.617786,-122.289162,3583.3
10002005,205260,47.617744,-122.289162,3600.2
10002005,205261,47.617691,-122.289177,3617.9
10002005,205262,47.617653,-122.289177,3632.7
10002005,205263,47.617397,-122.289177,3726.1
10002005,205264,47.616501,-122.289200,4053.0
10002005,205265,47.616306,-122.289200,4125.5
10002005,205266,47.615208,-122.289246,4523.5
10002005,205267,47.614986,-122.289246,4604.5
10002005,205268,47.614052,-122.289268,4945.4
10002005,205269,47.613720,-122.289284,5067.2
10002005,205270,47.613007,-122.289314,5326.5
10002005,205271,47.612892,-122.289314,5369.3
10002005,205272,47.612900,-122.290367,5629.0
10002005,205273,47.612904,-122.290802,5737.8
10002005,205274,47.612907,-122.291351,5872.5
10002005,205275,47.612919,-122.291412,5888.9
10002005,205276,47.612919,-122.291473,5903.5
10002005,205277,47.612930,-122.291580,5927.6
10002005,205278,47.612934,-122.292580,6176.2
10002005,205279,47.612942,-122.292915,6261.1
10002005,205280,47.612949,-122.293655,6442.8
10002005,205281,47.612949,-122.293861,6492.5
10002005,205282,47.612961,-122.294899,6749.7
10002005,205283,47.612961,-122.295174,6816.7
10002005,205284,47.612961,-122.295296,6847.1
10002005,205285,47.612965,-122.295364,6863.6
10002005,205286,47.612961,-122.295586,6915.9
10002005,205287,47.612949,-122.296196,7069.6
10002005,205288,47.612942,-122.297508,7390.7
10002005,205289,47.612942,-122.297821,7470.6
10002005,205290,47.612930,-122.298683,7682.9
10002005,205291,47.612930,-122.298805,7712.5
10002005,205292,47.612934,-122.300117,8035.6
10002005,205293,47.612942,-122.300461,8119.6
10002005,205294,47.612949,-122.301414,8356.6
10002005,205295,47.612942,-122.302711,8675.6
10002005,205296,47.612942,-122.303001,8745.8
10002005,205297,47.612930,-122.303642,8904.7
10002005,205298,47.612919,-122.304955,9228.9
10002005,205299,47.612907,-122.306168,9527.6
10002005,205300,47.612907,-122.306252,9547.6
10002005,205301,47.612900,-122.307129,9763.8
10002005,205302,47.612900,-122.307510,9859.4
10002005,205303,47.612900,-122.308174,10024.8
10002005,205304,47.612900,-122.308861,10192.6
10002005,205305,47.612904,-122.309349,10313.0
10002005,205306,47.612904,-122.309517,10355.0
10002005,205307,47.612904,-122.310173,10515.0
10002005,205308,47.612904,-122.310829,10675.5
10002005,205309,47.612907,-122.311485,10837.1
10002005,205310,47.612911,-122.312141,10999.9
10002005,205311,47.612911,-122.312782,11159.0
10002005,205312,47.612911,-122.313316,11290.6
10002005,205313,47.612911,-122.313461,11327.6
10002005,205314,47.612907,-122.314163,11498.7
10002005,205315,47.612907,-122.314423,11561.6
10002005,205316,47.612907,-122.314545,11593.0
10002005,205317,47.612907,-122.314819,11660.2
10002005,205318,47.612919,-122.315239,11765.7
10002005,205319,47.612911,-122.315414,11809.2
10002005,205320,47.612965,-122.315445,11829.1
10002005,205321,47.612995,-122.315483,11845.4
10002005,205322,47.613026,-122.315514,11856.8
10002005,205323,47.613060,-122.315514,11869.1
10002005,205324,47.613354,-122.315529,11977.2
10002005,205325,47.613064,-122.316223,12179.8
10002005,205326,47.612930,-122.316551,12276.5
10002005,205327,47.612873,-122.316780,12336.4
10002005,205328,47.612911,-122.317001,12390.0
10002005,205329,47.612930,-122.318123,12668.7
10002005,205330,47.612942,-122.319435,12992.3
10002005,205331,47.612942,-122.319855,13096.4
10002005,205332,47.612946,-122.320267,13198.3
