shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
21120_DEC22,34.0636651084,-118.4467287702,10001
21120_DEC22,34.0636633497,-118.4466098971,10002
21120_DEC22,34.0636739601,-118.4459694103,10003
21120_DEC22,34.063695534,-118.4453355852,10004
21120_DEC22,34.0636989493,-118.4450054263,10005
21120_DEC22,34.0636989493,-118.4450054263,20001
21120_DEC22,34.06369973,-118.4449426967,20002
21120_DEC22,34.0636910845,-118.444305409,20003
21120_DEC22,34.0636945852,-118.4441007178,20004
21120_DEC22,34.0637298522,-118.44347687,20005
21120_DEC22,34.0637333757,-118.4432655753,20006
21120_DEC22,34.063728607,-118.4430674437,20007
21120_DEC22,34.0637181606,-118.4429188086,20008
21120_DEC22,34.0637159938,-118.4427603121,20009
21120_DEC22,34.0637316213,-118.4426200695,20010
21120_DEC22,34.0637316213,-118.4426200695,30001
21120_DEC22,34.0637387268,-118.4425557225,30002
21120_DEC22,34.0637666769,-118.4424271012,30003
21120_DEC22,34.0637834542,-118.4423479474,30004
21120_DEC22,34.0638224558,-118.4422028755,30005
21120_DEC22,34.0638669047,-118.4420710393,30006
21120_DEC22,34.0639749522,-118.4418305802,30007
21120_DEC22,34.0640082765,-118.4417350045,30008
21120_DEC22,34.0640361654,-118.4416228911,30009
21120_DEC22,34.0640586309,-118.4414909383,30010
21120_DEC22,34.0640814341,-118.4412665372,30011
21120_DEC22,34.0640793857,-118.4410750229,30012
21120_DEC22,34.0641343786,-118.4410654075,30013
21120_DEC22,34.0642807202,-118.4410232557,30014
21120_DEC22,34.0642807202,-118.4410232557,40001
21120_DEC22,34.0644947309,-118.4409616498,40002
21120_DEC22,34.0646597336,-118.4409261996,40003
21120_DEC22,34.064739457,-118.4409167144,40004
21120_DEC22,34.0648192166,-118.4408973239,40005
21120_DEC22,34.0648990123,-118.4408680281,40006
21120_DEC22,34.0649761084,-118.4408255108,40007
21120_DEC22,34.0650174344,-118.4407960121,40008
21120_DEC22,34.0650863592,-118.4407336406,40009
21120_DEC22,34.0652243894,-118.4405593708,40010
21120_DEC22,34.0654067098,-118.440296184,40011
21120_DEC22,34.0654425761,-118.4402567507,40012
21120_DEC22,34.0655417509,-118.4401879339,40013
21120_DEC22,34.0655912962,-118.4401650817,40014
21120_DEC22,34.0658636808,-118.4400707611,40015
21120_DEC22,34.0659462483,-118.4400348751,40016
21120_DEC22,34.0661031756,-118.4399531539,40017
21120_DEC22,34.0663758006,-118.4397927958,40018
21120_DEC22,34.0665284382,-118.4396816645,40019
21120_DEC22,34.0665284382,-118.4396816645,50001
21120_DEC22,34.0666458097,-118.4395961021,50002
21120_DEC22,34.0668772527,-118.4394256198,50003
21120_DEC22,34.0669405971,-118.4393863298,50004
21120_DEC22,34.0670755053,-118.4393143965,50005
21120_DEC22,34.0671415615,-118.4392850263,50006
21120_DEC22,34.0672598745,-118.4392427228,50007
21120_DEC22,34.0673891189,-118.4392169861,50008
21120_DEC22,34.0674578388,-118.4392107431,50009
21120_DEC22,34.0677547732,-118.4391660751,50010
21120_DEC22,34.0686754064,-118.4391411908,50011
21120_DEC22,34.0687716167,-118.43913179,50012
21120_DEC22,34.0689063567,-118.4391060815,50013
21120_DEC22,34.069462471,-118.4389709773,50014
21120_DEC22,34.069462471,-118.4389709773,60001
21120_DEC22,34.0696241901,-118.4389315415,60002
21120_DEC22,34.0704080314,-118.4387408345,60003
21120_DEC22,34.0704850787,-118.4387115203,60004
21120_DEC22,34.0705759372,-118.4386624662,60005
21120_DEC22,34.0706337977,-118.4386198431,60006
21120_DEC22,34.0707137367,-118.4385509193,60007
21120_DEC22,34.0707964715,-118.4384688018,60008
21120_DEC22,34.0708571756,-118.4383997769,60009
21120_DEC22,34.0709537813,-118.4382814091,60010
21120_DEC22,34.0710310442,-118.4381926583,60011
21120_DEC22,34.0712299901,-118.4378899103,60012
21120_DEC22,34.0713790794,-118.4376958685,60013
21120_DEC22,34.0715142379,-118.4375545863,60014
21120_DEC22,34.0715914285,-118.4374856464,60015
21120_DEC22,34.0717512574,-118.437361003,60016
21120_DEC22,34.0718889243,-118.4372857747,60017
21120_DEC22,34.0720320269,-118.437227085,60018
21120_DEC22,34.0721420121,-118.4372078473,60019
21120_DEC22,34.0722382223,-118.4371984438,60020
21120_DEC22,34.0724168556,-118.4371927733,60021
21120_DEC22,34.0726366228,-118.4372104326,60022
21120_DEC22,34.0727601918,-118.4372341934,60023
21120_DEC22,34.072812329,-118.4372542787,60024
21120_DEC22,34.0732320307,-118.4374546015,60025
21120_DEC22,34.07409872,-118.4379082308,60026
21120_DEC22,34.0743529979,-118.4380327338,60027
21120_DEC22,34.0743529979,-118.4380327338,70001
21120_DEC22,34.0752096415,-118.4384523096,70002
21120_DEC22,34.0753851435,-118.4385522965,70003
21120_DEC22,34.0755359988,-118.438629039,70004
21120_DEC22,34.0756265455,-118.4386658384,70005
21120_DEC22,34.0757226478,-118.4386861559,70006
21120_DEC22,34.0758159664,-118.4387163656,70007
21120_DEC22,34.0758571719,-118.438719884,70008
21120_DEC22,34.0760632597,-118.438720965,70009
21120_DEC22,34.0764316858,-118.4386634565,70010
