trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
301-1,05:30:00,05:30:00,3068903,0,"",0,,0,1
301-1,05:37:00,05:37:00,3068904,1,"",0,,2355.1682634621566,1
301-1,05:38:00,05:38:00,3068905,2,"",0,,2669.6482959385194,1
301-1,05:38:00,05:38:00,3145709,3,"",0,,3065.9522712865923,1
301-1,05:40:00,05:40:00,3068906,4,"",0,,3591.0794636794085,1
301-1,05:40:00,05:40:00,3068907,5,"",0,,3945.1778152947704,1
301-1,05:41:00,05:41:00,3068908,6,"",0,,4256.448366300405,1
301-1,05:42:00,05:42:00,3068909,7,"",0,,4850.310673828123,1
301-1,05:43:00,05:43:00,3068910,8,"",0,,5262.463464268743,1
301-1,05:44:00,05:44:00,3068911,9,"",0,,5731.235443749428,1
301-1,05:45:00,05:45:00,3067456,10,"",0,,6073.3338158555325,1
301-1,05:46:00,05:46:00,3067457,11,"",0,,6275.306605050225,1
301-1,05:47:00,05:47:00,3067458,12,"",0,,6717.717497613871,1
301-1,05:53:00,05:53:00,3068912,13,"",0,,7660.914567047289,1
301-1,05:54:00,05:54:00,3068913,14,"",0,,8277.695507995504,1
301-1,05:56:00,05:56:00,3068914,15,"",0,,8431.781958059677,1
301-1,05:58:00,05:58:00,3068915,16,"",0,,8825.240793985307,1
301-1,05:59:00,05:59:00,3068916,17,"",0,,9241.700289261378,1
301-1,06:00:00,06:00:00,3068917,18,"",0,,9908.475639010927,1
301-1,06:02:00,06:02:00,3068918,19,"",0,,10388.39187087252,1
301-1,06:03:00,06:03:00,3068919,20,"",0,,10746.012699881923,1
301-1,06:07:00,06:07:00,3068903,21,"",0,,12878.703556178636,1
301-2,06:15:00,06:15:00,3068903,0,"",0,,0,1
301-2,06:22:00,06:22:00,3068904,1,"",0,,2355.1682634621566,1
301-2,06:23:00,06:23:00,3068905,2,"",0,,2669.6482959385194,1
301-2,06:23:00,06:23:00,3145709,3,"",0,,3065.9522712865923,1
301-2,06:25:00,06:25:00,3068906,4,"",0,,3591.0794636794085,1
301-2,06:25:00,06:25:00,3068907,5,"",0,,3945.1778152947704,1
301-2,06:26:00,06:26:00,3068908,6,"",0,,4256.448366300405,1
301-2,06:27:00,06:27:00,3068909,7,"",0,,4850.310673828123,1
301-2,06:28:00,06:28:00,3068910,8,"",0,,5262.463464268743,1
301-2,06:29:00,06:29:00,3068911,9,"",0,,5731.235443749428,1
301-2,06:30:00,06:30:00,3067456,10,"",0,,6073.3338158555325,1
301-2,06:31:00,06:31:00,3067457,11,"",0,,6275.306605050225,1
301-2,06:32:00,06:32:00,3067458,12,"",0,,6717.717497613871,1
301-2,06:38:00,06:38:00,3068912,13,"",0,,7660.914567047289,1
301-2,06:39:00,06:39:00,3068913,14,"",0,,8277.695507995504,1
301-2,06:41:00,06:41:00,3068914,15,"",0,,8431.781958059677,1
301-2,06:43:00,06:43:00,3068915,16,"",0,,8825.240793985307,1
301-2,06:44:00,06:44:00,3068916,17,"",0,,9241.700289261378,1
301-2,06:45:00,06:45:00,3068917,18,"",0,,9908.475639010927,1
301-2,06:47:00,06:47:00,3068918,19,"",0,,10388.39187087252,1
301-2,06:48:00,06:48:00,3068919,20,"",0,,10746.012699881923,1
301-2,06:52:00,06:52:00,3068903,21,"",0,,12878.703556178636,1
301-3,07:00:00,07:00:00,3068903,0,"",0,,0,1
301-3,07:07:00,07:07:00,3068904,1,"",0,,2355.1682634621566,1
301-3,07:08:00,07:08:00,3068905,2,"",0,,2669.6482959385194,1
301-3,07:08:00,07:08:00,3145709,3,"",0,,3065.9522712865923,1
301-3,07:10:00,07:10:00,3068906,4,"",0,,3591.0794636794085,1
301-3,07:10:00,07:10:00,3068907,5,"",0,,3945.1778152947704,1
301-3,07:11:00,07:11:00,3068908,6,"",0,,4256.448366300405,1
301-3,07:12:00,07:12:00,3068909,7,"",0,,4850.310673828123,1
301-3,07:13:00,07:13:00,3068910,8,"",0,,5262.463464268743,1
301-3,07:14:00,07:14:00,3068911,9,"",0,,5731.235443749428,1
301-3,07:15:00,07:15:00,3067456,10,"",0,,6073.3338158555325,1
301-3,07:16:00,07:16:00,3067457,11,"",0,,6275.306605050225,1
301-3,07:17:00,07:17:00,3067458,12,"",0,,6717.717497613871,1
301-3,07:23:00,07:23:00,3068912,13,"",0,,7660.914567047289,1
301-3,07:24:00,07:24:00,3068913,14,"",0,,8277.695507995504,1
301-3,07:26:00,07:26:00,3068914,15,"",0,,8431.781958059677,1
301-3,07:28:00,07:28:00,3068915,16,"",0,,8825.240793985307,1
301-3,07:29:00,07:29:00,3068916,17,"",0,,9241.700289261378,1
301-3,07:30:00,07:30:00,3068917,18,"",0,,9908.475639010927,1
301-3,07:32:00,07:32:00,3068918,19,"",0,,10388.39187087252,1
301-3,07:33:00,07:33:00,3068919,20,"",0,,10746.012699881923,1
301-3,07:37:00,07:37:00,3068903,21,"",0,,12878.703556178636,1
301-4,07:45:00,07:45:00,3068903,0,"",0,,0,1
301-4,07:52:00,07:52:00,3068904,1,"",0,,2355.1682634621566,1
301-4,07:53:00,07:53:00,3068905,2,"",0,,2669.6482959385194,1
301-4,07:53:00,07:53:00,3145709,3,"",0,,3065.9522712865923,1
301-4,07:55:00,07:55:00,3068906,4,"",0,,3591.0794636794085,1
301-4,07:55:00,07:55:00,3068907,5,"",0,,3945.1778152947704,1
301-4,07:56:00,07:56:00,3068908,6,"",0,,4256.448366300405,1
