trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
301-1,3163,1,Orange Route,"",0,383330,12448,
301-2,3163,1,Orange Route,"",0,383330,12448,
301-3,3163,1,Orange Route,"",0,383330,12448,
301-4,3163,1,Orange Route,"",0,383330,12448,
301-5,3163,1,Orange Route,"",0,383330,12448,
301-6,3163,1,Orange Route,"",0,383330,12448,
301-7,3163,1,Orange Route,"",0,383330,12448,
301-8,3163,1,Orange Route,"",0,383330,12448,
301-9,3163,1,Orange Route,"",0,383330,12448,
302-1,3163,1,Orange Route,"",0,383333,12448,
302-2,3163,1,Orange Route,"",0,383333,12448,
302-3,3163,1,Orange Route,"",0,383333,12448,
302-4,3163,1,Orange Route,"",0,383333,12448,
303-1,3163,1,Orange Route,"",0,383331,12448,
303-2,3163,1,Orange Route,"",0,383331,12448,
303-3,3163,1,Orange Route,"",0,383331,12448,
303-4,3163,1,Orange Route,"",0,383331,12448,
303-5,3163,1,Orange Route,"",0,383331,12448,
303-6,3163,1,Orange Route,"",0,383331,12448,
303-7,3163,1,Orange Route,"",0,383331,12448,
304-1,3163,1,Orange Route,"",0,383332,12448,
304-2,3163,1,Orange Route,"",0,383332,12448,
304-3,3163,1,Orange Route,"",0,383332,12448,
304-4,3163,1,Orange Route,"",0,383332,12448,
304-5,3163,1,Orange Route,"",0,383332,12448,
304-6,3163,1,Orange Route,"",0,383332,12448,
351-1,3163,1,Orange Route,"",0,383326,12448,
351-2,3163,1,Orange Route,"",0,383326,12448,
351-3,3163,1,Orange Route,"",0,383326,12448,
351-4,3163,1,Orange Route,"",0,383326,12448,
351-5,3163,1,Orange Route,"",0,383326,12448,
351-6,3163,1,Orange Route,"",0,383326,12448,
351-7,3163,1,Orange Route,"",0,383326,12448,
351-8,3163,1,Orange Route,"",0,383326,12448,
351-9,3163,1,Orange Route,"",0,383326,12448,
352-1,3163,1,Orange Route,"",0,383327,12448,
352-2,3163,1,Orange Route,"",0,383327,12448,
352-3,3163,1,Orange Route,"",0,383327,12448,
352-4,3163,1,Orange Route,"",0,383327,12448,
352-5,3163,1,Orange Route,"",0,383327,12448,
352-6,3163,1,Orange Route,"",0,383327,12448,
353-1,3163,1,Orange Route,"",0,383328,12448,
353-2,3163,1,Orange Route,"",0,383328,12448,
353-3,3163,1,Orange Route,"",0,383328,12448,
353-4,3163,1,Orange Route,"",0,383328,12448,
353-5,3163,1,Orange Route,"",0,383328,12448,
354-1,3163,1,Orange Route,"",0,383329,12448,
354-2,3163,1,Orange Route,"",0,383329,12448,
354-3,3163,1,Orange Route,"",0,383329,12448,
354-4,3163,1,Orange Route,"",0,383329,12448,
354-5,3163,1,Orange Route,"",0,383329,12448,
501-1,3162,1,Pink Route,"",0,383334,13945,
501-2,3162,1,Pink Route,"",0,383334,13945,
501-3,3162,1,Pink Route,"",0,383334,13945,
501-4,3162,1,Pink Route,"",0,383334,13945,
502-1,3162,1,Pink Route,"",0,383335,13945,
502-2,3162,1,Pink Route,"",0,383335,13945,
502-3,3162,1,Pink Route,"",0,383335,13945,
502-4,3162,1,Pink Route,"",0,383335,13945,
503-1,3162,1,Pink Route,"",0,383336,13945,
503-2,3162,1,Pink Route,"",0,383336,13945,
503-3,3162,1,Pink Route,"",0,383336,13945,
503-4,3162,1,Pink Route,"",0,383336,13945,
504-1,3162,1,Pink Route,"",0,383337,13945,
504-2,3162,1,Pink Route,"",0,383337,13945,
504-3,3162,1,Pink Route,"",0,383337,13945,
505-1,3162,1,Pink Route,"",0,383338,13945,
505-2,3162,1,Pink Route,"",0,383338,13945,
505-3,3162,1,Pink Route,"",0,383338,13945,
505-4,3162,1,Pink Route,"",0,383338,13945,
506-1,3162,1,Pink Route,"",0,383339,13945,
506-2,3162,1,Pink Route,"",0,383339,13945,
506-3,3162,1,Pink Route,"",0,383339,13945,
506-4,3162,1,Pink Route,"",0,383339,13945,
551-1,3162,1,Pink Route,"",0,383340,13945,
551-2,3162,1,Pink Route,"",0,383340,13945,
551-3,3162,1,Pink Route,"",0,383340,13945,
551-4,3162,1,Pink Route,"",0,383340,13945,
552-1,3162,1,Pink Route,"",0,383341,13945,
552-2,3162,1,Pink Route,"",0,383341,13945,
552-3,3162,1,Pink Route,"",0,383341,13945,
552-4,3162,1,Pink Route,"",0,383341,13945,
553-1,3162,1,Pink Route,"",0,383342,13945,
553-2,3162,1,Pink Route,"",0,383342,13945,
553-3,3162,1,Pink Route,"",0,383342,13945,
553-4,3162,1,Pink Route,"",0,383342,13945,
553-5,3162,1,Pink Route,"",0,383342,13945,
554-1,3162,1,Pink Route,"",0,383343,13945,
554-2,3162,1,Pink Route,"",0,383343,13945,
554-3,3162,1,Pink Route,"",0,383343,13945,
554-4,3162,1,Pink Route,"",0,383343,13945,
554-5,3162,1,Pink Route,"",0,383343,13945,
555-1,3162,1,Pink Route,"",0,383344,13945,
555-2,3162,1,Pink Route,"",0,383344,13945,
555-3,3162,1,Pink Route,"",0,383344,13945,
555-4,3162,1,Pink Route,"",0,383344,13945,
556-1,3162,1,Pink Route,"",0,383345,13945,
556-2,3162,1,Pink Route,"",0,383345,13945,
556-3,3162,1,Pink Route,"",0,383345,13945,
